year,miles,price,brand,color_exterior,color_interior,accidents,number_of_owners
2020,28980.0,19795.0,Chevrolet,Black,Black,0.0,1.0
2020,44880.0,43998.0,Porsche,Silver,Black,0.0,3.0
2016,94267.0,6999.0,Hyundai,White,Gray,0.0,2.0
2020,9494.0,26795.0,Ford,Gray,Black,0.0,1.0
2021,64971.0,16289.0,Chevrolet,Blue,Black,0.0,1.0
2018,51994.0,24999.0,Volvo,Silver,Black,0.0,1.0
2020,28999.0,30999.0,Lexus,Black,Unknown,1.0,2.0
2018,35993.0,47999.0,Land Rover,White,Black,0.0,2.0
2018,61962.0,14788.0,Ford,Blue,Black,0.0,1.0
2020,15698.0,30006.0,Mercedes-Benz,Black,Beige,0.0,1.0
2021,24044.0,20998.0,Nissan,Black,Black,0.0,1.0
2021,33636.0,24333.0,Toyota,Red,Black,0.0,1.0
2020,38465.0,28799.0,Jeep,White,Black,0.0,1.0
2019,50950.0,20998.0,Volkswagen,Gray,Black,0.0,1.0
2023,131.0,60800.0,Ford,Gray,Black,0.0,1.0
2020,36853.0,23998.0,Toyota,Gray,Black,1.0,1.0
2023,6779.0,58890.0,Chevrolet,Gray,Black,0.0,1.0
2022,38375.0,24988.0,Toyota,Silver,Unknown,0.0,1.0
2019,38783.0,29750.0,Mercedes-Benz,White,Black,0.0,1.0
2019,42526.0,18000.0,Dodge,White,Black,0.0,1.0
2017,91969.0,14998.0,Chevrolet,Black,Black,1.0,1.0
2020,41266.0,18991.0,Volkswagen,Gray,Black,0.0,1.0
2018,84208.0,10995.0,Chevrolet,White,Black,0.0,3.0
2019,45072.0,26495.0,Ford,Gray,Black,0.0,1.0
2018,33118.0,36295.0,Chevrolet,Black,Black,0.0,1.0
2020,18650.0,20683.0,Honda,Silver,Black,0.0,1.0
2023,6828.0,39500.0,Toyota,Silver,Black,0.0,1.0
2014,76071.0,13850.0,Chevrolet,Black,Black,1.0,1.0
2015,86935.0,15998.0,Kia,White,Beige,0.0,1.0
2021,62758.0,16900.0,Toyota,Black,Black,0.0,1.0
2016,120296.0,20998.0,Dodge,Gray,Black,0.0,1.0
2020,68181.0,18988.0,Toyota,Black,Gray,1.0,1.0
2022,43839.0,14999.0,Kia,White,Black,0.0,1.0
2015,29063.0,23998.0,Jeep,Gray,Black,0.0,1.0
2012,100774.0,9900.0,Honda,Blue,Gray,0.0,2.0
2022,32604.0,17599.0,Toyota,Black,Black,0.0,1.0
2021,18746.0,24999.0,Toyota,White,Unknown,0.0,1.0
2019,58038.0,27998.0,Jeep,White,Black,0.0,3.0
2012,122285.0,14998.0,Honda,Gray,Gray,0.0,1.0
2021,25671.0,40998.0,Toyota,Gray,Black,0.0,1.0
2013,76825.0,16998.0,Honda,Gray,Black,0.0,1.0
2016,100359.0,16998.0,Toyota,White,Black,1.0,2.0
2000,15600.0,39998.0,Honda,Black,Black,0.0,1.0
2019,48925.0,27555.0,Toyota,Gray,Gray,0.0,2.0
2017,97372.0,21555.0,Toyota,Gray,Gray,1.0,2.0
2022,2885.0,45999.0,Mercedes-Benz,Black,Black,0.0,1.0
2020,47492.0,29000.0,Hyundai,Black,Black,0.0,1.0
2021,44630.0,17000.0,Toyota,Gray,Black,1.0,2.0
2019,66478.0,22995.0,Ford,White,Black,0.0,1.0
2021,18769.0,29990.0,Mercedes-Benz,Silver,Unknown,0.0,1.0
2020,31907.0,39998.0,Ford,Gray,Black,0.0,1.0
2020,26469.0,31997.0,Honda,White,Gray,0.0,1.0
2021,27185.0,25998.0,Honda,White,Black,0.0,1.0
2014,97490.0,10998.0,Ford,Gray,Black,1.0,3.0
2022,10608.0,45828.0,Ford,White,Black,0.0,1.0
2015,83650.0,11995.0,Ford,White,Gray,0.0,1.0
2018,55196.0,18975.0,Volvo,Gray,Black,0.0,2.0
2015,107676.0,14300.0,Ford,Orange,Black,0.0,2.0
2020,17193.0,19490.0,Volkswagen,Black,Black,0.0,1.0
2014,88900.0,24502.0,Mercedes-Benz,White,Beige,0.0,1.0
2020,57826.0,28600.0,Chevrolet,White,Black,1.0,1.0
2020,30791.0,24791.0,Mercedes-Benz,Silver,Gray,1.0,1.0
2021,11703.0,18782.0,Toyota,Black,Gray,0.0,1.0
2019,51617.0,28998.0,Honda,Silver,Brown,1.0,1.0
2017,78006.0,17998.0,BMW,Gray,Black,1.0,2.0
2019,38318.0,26298.0,Subaru,Gray,Black,0.0,4.0
2022,38804.0,15199.0,Kia,White,Black,0.0,1.0
2016,82472.0,23998.0,Jeep,Black,Black,0.0,1.0
